"GRID_ID","s_j_erhjahr","bfs_akt","raumplanreg_code","bezirk_code","typ","c_zone","n_qmareal","n_zimmer","n_qmwhg","gbauj","neubau","lage","lage_class","seedist","distparade","id_ha_geb","n_preis","id_grid"
"O-40",2010,131,106,106,"STW",11,0,0,NA,2010,1,4,"gehoben",1977,6,35516,1999715.72443226,935
"AI-25",2012,230,109,110,"Land",1,2260,NA,NA,NA,NA,3,"mittel",5000,20.4,4439,1302.18536608049,430
"C-27",2013,87,103,104,"Land",3,6170,NA,NA,NA,NA,3,"mittel",5000,14.4,4680,650.010951817036,394
"AK-40",2007,121,108,105,"EFH",11,300,6,180,2008,1,3,"mittel",5000,20.6,64206,1726352.19981556,950
"M-22",2007,89,111,104,"MFH",11,3080,NA,NA,1997,0,2,"günstig",5000,13.6,14615,537631.17200823,1481
"P-33",2008,261,101,112,"MFH",11,280,NA,NA,1905,0,5,"hoch",2367,2,75900,2601307.14649218,1131
"AB-31",2017,199,102,109,"EFH",1,540,7,200,1980,0,3,"mittel",5000,12,74879,2336540.97296239,330
"AD-46",2015,155,107,107,"STW",1,0,4,NA,2003,0,4,"gehoben",1527,17.8,73336,1171783.69391675,768
"AD-48",2011,158,107,107,"STW",11,0,4,NA,2006,0,4,"gehoben",273,19.2,49490,715092.678557965,56
"T-40",2016,154,107,107,"STW",3,0,3,NA,1939,0,5,"hoch",771,6.6,48800,89647.0388571033,937
"AI-41",2012,115,108,105,"STW",11,0,0,NA,2012,1,2,"günstig",5000,19.2,65080,238775.501020369,916
"AD-36",2012,198,108,109,"MFH",11,3320,NA,NA,1972,0,3,"mittel",5000,13.2,8277,2042924.98090933,1057
"I-43",2008,2,105,101,"EFH",1,300,5,150,1994,0,3,"mittel",5000,11.2,69493,1714384.76295175,838
"AH-20",2014,230,109,110,"STW",11,0,3,NA,1972,0,3,"mittel",5000,23.2,41952,1910579.45243048,1570
"S-18",2017,68,111,103,"MFH",3,360,NA,NA,1721,0,2,"günstig",5000,17.8,37726,687502.547188895,1628
"AP-32",2017,297,108,108,"EFH",1,390,5,160,1989,0,1,"sehr günstig",5000,24.4,32034,2160748.73823603,1190
"O-40",2012,131,106,106,"STW",3,0,3,NA,NA,NA,2,"günstig",1977,6,82861,1790158.25707861,935
"AC-21",2012,230,109,110,"EFH",11,370,6,NA,1914,0,3,"mittel",5000,18.8,36008,1426031.00037889,1529
"AB-52",2008,138,106,106,"EFH",11,530,4,140,1979,0,3,"mittel",1788,21.6,35565,2445326.52895956,679
"U-37",2014,161,107,107,"EFH",1,290,5,150,2014,1,5,"hoch",2539,5.6,56327,2734960.02765093,1029
"G-27",2009,84,103,104,"EFH",6,2000,NA,NA,1890,0,NA,NA,5000,11.4,69267,1615038.81567437,1307
"U-40",2017,154,107,107,"EFH",1,480,5,140,1956,0,6,"sehr hoch",1353,7.6,37470,439382.15267763,938
"M-30",2014,261,101,112,"STW",1,0,0,NA,2014,1,4,"gehoben",5000,5.4,41261,1378959.09387374,1233
"AH-42",2017,115,108,105,"EFH",11,620,6,110,1983,0,3,"mittel",5000,18.4,16527,1473632.45640416,884
"X-20",2010,224,109,110,"STW",3,0,4,NA,2010,1,2,"günstig",5000,17.6,60999,702187.91559909,1560
"U-30",2017,69,102,103,"STW",3,0,0,NA,2011,0,3,"mittel",5000,6.6,80922,837374.150039977,1239
"N-19",2012,59,111,103,"EFH",3,720,5,120,1966,0,2,"günstig",5000,17.2,22202,404029.828867409,1589
"AU-44",2014,120,108,105,"STW",1,0,4,NA,1976,0,1,"sehr günstig",5000,30.8,45056,1283946.34458749,834
"O-40",2011,131,106,106,"STW",11,0,0,NA,2011,1,4,"gehoben",1977,6,29118,1392514.12475086,935
"I-23",2013,86,111,104,"STW",1,0,2,NA,1997,0,1,"sehr günstig",5000,13.8,57751,1469683.86358675,1439
"AK-26",2014,231,109,110,"STW",1,0,3,NA,2013,1,2,"günstig",5000,21.6,78842,2733354.59223832,1362
"N-35",2012,261,101,112,"MFH",3,400,NA,NA,1938,0,5,"hoch",1728,1.8,64958,137199.232171872,1071
"AP-44",2010,113,108,105,"MFH",3,2310,NA,NA,1973,0,2,"günstig",5000,26.2,14883,2003329.05300451,829
"AO-45",2011,113,108,105,"STW",1,0,5,NA,2011,1,2,"günstig",3774,26,60855,751238.782264641,798
"O-30",2017,261,101,112,"STW",11,0,0,NA,2010,0,4,"gehoben",5000,4.8,43187,2967516.43170603,1235
"U-42",2013,151,107,107,"EFH",11,1110,4,140,1913,0,5,"hoch",267,9.4,67069,888227.5637188,151
"U-42",2012,151,107,107,"STW",1,0,3,NA,1986,0,5,"hoch",267,9.4,41156,2413252.42102391,151
"K-39",2010,3,105,101,"EFH",1,210,3,80,1980,0,3,"mittel",4833,6.8,80490,1476455.11494612,965
"AE-40",2007,196,108,109,"Land",1,240,NA,NA,NA,NA,2,"günstig",5000,15.2,115,294.101905818912,945
"L-35",2011,261,101,112,"STW",1,0,2,NA,1972,0,5,"hoch",3522,3.6,61608,435896.324428148,1069
"O-32",2008,261,101,112,"EFH",1,530,6,160,1935,0,5,"hoch",3101,2.6,61299,2629184.38492436,1168
"N-36",2015,261,101,112,"STW",3,0,0,NA,2013,1,4,"gehoben",1561,2.2,11700,1597361.84190772,1050
"N-24",2012,92,111,104,"STW",11,0,4,NA,1971,0,2,"günstig",5000,11.8,22223,601016.915459069,1409
"X-48",2009,142,106,106,"STW",11,0,4,NA,1980,0,4,"gehoben",872,16,56305,1032490.26488047,731
"AB-35",2014,194,102,109,"EFH",1,1160,6,160,1958,0,4,"gehoben",5000,11.2,35008,288720.251332037,1078
"S-43",2008,137,106,106,"EFH",3,600,4,140,1890,0,4,"gehoben",235,9.8,63112,1889760.04654402,136
"AP-46",2007,118,108,105,"MFH",1,1000,NA,NA,1898,0,2,"günstig",3929,27,25260,1229287.9289859,776
"E-32",2013,243,104,111,"EFH",1,640,5,160,2013,1,3,"mittel",5000,10.4,55178,2646940.1347508,1160
"M-20",2010,60,111,103,"STW",1,0,4,NA,2001,0,1,"sehr günstig",5000,15.6,32360,1020160.01774604,1551
"N-33",2013,261,101,112,"STW",3,0,0,NA,2013,1,4,"gehoben",3084,2.6,79695,1011488.90214204,1129
"AA-45",2012,156,107,107,"STW",3,0,0,NA,2002,0,5,"hoch",622,15.4,69322,2252849.12543884,789
"S-28",2009,66,102,103,"STW",1,0,4,NA,2009,1,3,"mittel",5000,7.4,37687,1380103.22152975,1285
"W-36",2008,195,102,109,"STW",3,0,0,NA,2008,1,3,"mittel",4642,6.8,75844,446524.325939245,249
"X-37",2007,195,102,109,"STW",3,0,4,NA,1994,0,4,"gehoben",5000,7.8,72980,1490049.90434134,227
"AD-47",2013,155,107,107,"EFH",1,340,4,170,2003,0,4,"gehoben",570,18.4,34058,890627.846145653,71
"AI-28",2007,180,109,108,"EFH",1,560,5,130,2004,0,2,"günstig",5000,19,44555,2861420.72976602,1298
"S-38",2017,161,107,107,"STW",3,0,0,NA,2015,1,5,"hoch",435,4.8,8009,872840.233634692,205
"AB-23",2009,230,109,110,"EFH",1,390,5,270,2009,1,3,"mittel",5000,17,43673,2087220.28394428,1456
"S-33",2012,261,101,112,"STW",3,0,3,NA,1998,0,5,"hoch",3074,3.2,66222,719524.135190644,1134
"H-36",2008,242,104,111,"STW",1,0,3,NA,2008,1,3,"mittel",5000,7.4,9170,1605346.53888328,1047
"AK-40",2014,121,108,105,"EFH",11,380,4,70,1951,0,3,"mittel",5000,20.6,30809,1369832.24634326,950
"O-49",2016,6,105,101,"EFH",1,1130,6,180,1980,0,2,"günstig",5000,15.8,60411,2338967.40606043,706
"V-23",2007,65,111,103,"EFH",1,470,5,160,1989,0,2,"günstig",5000,14,80916,1169058.54046915,1451
"T-32",2009,261,101,112,"STW",11,0,0,NA,2009,1,4,"gehoben",4835,5,37361,1388174.1902295,316
"V-30",2014,54,102,103,"STW",1,0,0,NA,1961,0,4,"gehoben",5000,7.8,9839,403522.196466103,1240
"I-21",2009,101,111,104,"STW",3,0,5,NA,2009,1,1,"sehr günstig",5000,15.8,55047,2601869.98966825,1515
"AA-24",2014,213,109,110,"STW",1,0,5,NA,1994,0,2,"günstig",5000,15.2,14735,287479.178678826,438
"AE-47",2012,158,107,107,"MFH",1,350,NA,NA,1764,0,4,"gehoben",744,19.6,31901,284370.48088992,750
"AH-21",2012,230,109,110,"STW",3,0,0,NA,2012,1,2,"günstig",5000,22.4,10187,503181.319069467,1534
"AK-21",2015,219,109,110,"STW",3,0,0,NA,1808,0,1,"sehr günstig",5000,24.4,32820,2700930.12816261,1537
"J-40",2010,3,105,101,"STW",3,0,0,NA,1996,0,2,"günstig",5000,7.8,12686,2321608.86149877,932
"AO-29",2007,181,108,108,"STW",1,0,3,NA,1988,0,2,"günstig",5000,24,13819,2480041.06971063,367
"L-47",2011,9,105,101,"Land",3,310,NA,NA,NA,NA,NA,NA,5000,13.6,4635,1196.23013189982,742
"K-20",2007,88,111,104,"STW",1,0,4,NA,2006,1,3,"mittel",5000,16.2,51397,639269.626307767,469
"K-20",2015,88,111,104,"STW",1,0,4,NA,2006,0,3,"mittel",5000,16.2,13017,910981.771481805,469
"N-40",2017,131,106,106,"MFH",11,1040,NA,NA,1967,0,4,"gehoben",2608,5.8,13777,2689731.9512309,173
"AB-23",2014,230,109,110,"EFH",1,460,5,190,1994,0,3,"mittel",5000,17,13270,2522851.09423718,1456
"AB-23",2017,230,109,110,"STW",1,0,0,NA,1997,0,3,"mittel",5000,17,80194,557655.422896845,1456
"AA-24",2017,213,109,110,"EFH",3,260,5,NA,1996,0,2,"günstig",5000,15.2,50928,2676064.81432251,438
"AC-6",2012,40,110,102,"EFH",6,154930,5,220,1988,0,NA,NA,5000,32.8,25981,1098329.93018802,631
"AG-32",2012,172,108,108,"STW",11,0,4,NA,2007,0,3,"mittel",5000,16.2,13176,993331.142925657,1181
"AD-41",2007,196,108,109,"STW",11,0,5,NA,1971,0,2,"günstig",5000,14.6,46569,2810061.36607251,913
"Q-31",2017,261,101,112,"STW",3,0,1,NA,1973,0,4,"gehoben",3999,3.8,16124,2524912.9424924,1207
"AG-20",2008,230,109,110,"STW",11,0,4,NA,1994,0,3,"mittel",5000,22.2,56628,98645.7302902127,1569
"O-32",2011,261,101,112,"MFH",11,340,NA,NA,1909,0,4,"gehoben",3101,2.6,68131,2984950.42247302,1168
"M-23",2013,92,111,104,"STW",3,0,3,NA,NA,NA,2,"günstig",5000,12.6,9022,336204.067398445,1443
"AD-33",2010,199,102,109,"EFH",1,1700,4,170,1994,0,3,"mittel",5000,13.2,30001,2281287.61335416,1144
"Q-43",2015,141,106,106,"STW",3,0,3,NA,1978,0,4,"gehoben",1677,9.4,27889,1315913.75610861,844
"AU-35",2016,114,108,105,"MFH",3,810,NA,NA,1900,0,1,"sehr günstig",5000,29,19391,2923021.94359351,284
"N-38",2016,261,101,112,"STW",3,0,0,NA,2017,1,3,"mittel",1680,3.8,54010,50762.5803104602,998
"U-42",2009,152,107,107,"STW",1,0,0,NA,1974,0,6,"sehr hoch",267,9.4,80658,1386060.56092167,151
"T-27",2009,62,102,103,"STW",1,0,4,NA,1948,0,4,"gehoben",5000,9.2,41361,2153659.41733506,1318
"AE-17",2017,227,109,110,"MFH",1,530,NA,NA,1923,0,3,"mittel",5000,23.4,41230,180503.694691113,1663
"AT-44",2010,120,108,105,"EFH",1,700,4,120,1978,0,2,"günstig",5000,29.6,30806,2493100.04376061,833
"I-44",2015,2,105,101,"Land",3,810,NA,NA,1924,0,2,"günstig",5000,12.2,7327,115.701475989306,809
"AD-21",2014,230,109,110,"STW",3,0,0,NA,2014,1,2,"günstig",5000,19.8,65848,1146616.88019254,1530
"Q-35",2009,261,101,112,"MFH",11,750,NA,160,1889,0,5,"hoch",463,1.2,30331,462006.583413691,270
"X-37",2009,195,102,109,"STW",1,0,0,NA,2009,1,4,"gehoben",5000,7.8,18916,723912.637538859,227
"Q-30",2010,261,101,112,"MFH",11,620,NA,NA,1952,0,4,"gehoben",5000,4.8,65894,2404800.5646033,1237
"AA-14",2007,31,110,102,"Land",1,8230,NA,NA,NA,NA,2,"günstig",5000,24.2,715,618.985037787934,1727
"M-29",2008,261,101,112,"STW",3,0,0,NA,2008,1,4,"gehoben",5000,6.4,56087,391236.276622396,1260
"W-43",2017,152,107,107,"STW",1,0,5,NA,1997,0,5,"hoch",1029,11.4,23759,2445666.35569197,847
"T-30",2017,69,102,103,"EFH",11,370,7,190,2000,0,4,"gehoben",5000,6.4,46429,2897129.58684773,1238
"AD-47",2008,155,107,107,"STW",1,0,3,NA,1994,0,4,"gehoben",570,18.4,43587,1594439.73748584,71
"V-29",2007,54,102,103,"EFH",1,320,4,140,1943,0,3,"mittel",5000,8.4,15865,2227191.8851909,362
"AI-20",2012,230,109,110,"EFH",1,240,5,150,1989,0,3,"mittel",5000,23.6,41235,2194652.47548907,1571
"AI-46",2015,153,107,107,"EFH",1,900,4,150,2017,1,3,"mittel",2248,21.8,39873,1658257.21039507,773
"V-22",2009,65,111,103,"Land",1,860,NA,NA,NA,NA,3,"mittel",5000,15,2534,1429.80041099025,1488
"AI-38",2017,119,108,105,"STW",3,0,0,NA,2013,0,2,"günstig",5000,18.2,37762,2645554.37615013,1009
"AP-38",2009,111,108,105,"Land",3,240,NA,NA,NA,NA,2,"günstig",5000,24.6,2711,2068.7615151034,1014
"AJ-30",2010,178,108,108,"EFH",1,1040,5,280,1979,0,3,"mittel",5000,19.4,70254,1911479.51949341,1250
"AC-21",2011,230,109,110,"EFH",1,230,5,NA,1941,0,2,"günstig",5000,18.8,66510,1503224.76822115,1529
"T-32",2007,191,102,109,"STW",3,0,0,NA,2000,0,3,"mittel",4835,5,83183,144872.695305385,316
"E-43",2015,11,105,101,"EFH",1,500,5,180,2009,0,NA,NA,5000,13.8,7878,2263907.69361309,132
"O-40",2015,131,106,106,"STW",11,0,0,NA,2015,1,3,"mittel",1977,6,29511,2834477.48408257,935
"O-23",2008,92,111,104,"EFH",3,290,4,110,1880,0,2,"günstig",5000,12.2,72210,905484.541434096,1445
"AI-47",2017,153,107,107,"STW",3,0,3,NA,2017,1,3,"mittel",1197,22.4,53357,1436443.64313385,754
"AE-22",2016,230,109,110,"EFH",1,340,5,110,1934,0,3,"mittel",5000,19.4,12897,1740717.18496608,1495
"X-34",2015,193,102,109,"STW",11,0,4,NA,2000,0,3,"mittel",5000,7.6,52740,396618.606438395,1103
"AO-38",2009,111,108,105,"EFH",3,590,4,100,2000,0,2,"günstig",5000,23.6,52356,807496.625154279,1013
"AG-39",2010,115,108,105,"Land",3,2860,NA,NA,NA,NA,2,"günstig",5000,16.6,3342,342.865624915576,195
"AJ-47",2017,153,107,107,"STW",11,0,3,NA,1986,0,3,"mittel",1450,22.8,12583,410078.430574969,755
"L-21",2012,60,111,103,"EFH",1,310,4,140,2013,1,1,"sehr günstig",5000,15.4,30402,1492951.42624003,459
"AC-46",2015,155,107,107,"STW",3,0,4,NA,1999,0,4,"gehoben",591,17.4,79312,1934580.82896657,91
"AC-16",2011,221,109,110,"STW",1,0,3,NA,2011,1,2,"günstig",5000,23.2,66486,1951620.67684543,1685
"K-33",2008,261,101,112,"MFH",1,2510,NA,NA,1952,0,5,"hoch",4912,4.8,12476,1505916.20479722,1126
"AO-44",2009,113,108,105,"EFH",3,100,4,100,1838,0,1,"sehr günstig",4692,25.6,9878,2340891.76442951,828
"K-31",2016,261,101,112,"STW",11,0,0,NA,2009,0,4,"gehoben",5000,5.8,12925,124313.894527964,326
"AB-7",2009,40,110,102,"MFH",3,1440,NA,NA,1860,0,1,"sehr günstig",5000,32,71901,1505273.88578909,1830
"AA-14",2008,31,110,102,"STW",11,0,3,NA,2008,1,1,"sehr günstig",5000,24.2,20461,1190689.11650078,1727
"AB-47",2016,155,107,107,"STW",3,0,0,NA,2015,1,4,"gehoben",367,17.2,55359,442037.029993837,69
"G-45",2014,10,105,101,"STW",3,0,0,NA,2013,1,2,"günstig",5000,14.2,44699,1819983.65800933,779
"G-45",2010,10,105,101,"Land",1,530,NA,NA,NA,NA,3,"mittel",5000,14.2,3512,2813.59864574135,779
"AH-40",2009,115,108,105,"STW",3,0,0,NA,2009,1,3,"mittel",5000,17.8,24292,1472721.36408696,947
"L-22",2009,89,111,104,"STW",11,0,4,NA,2004,0,2,"günstig",5000,14.4,10077,146239.850579062,450
"AI-20",2008,219,109,110,"Land",1,70,NA,NA,NA,NA,1,"sehr günstig",5000,23.6,1569,272.139750869712,1571
"Q-29",2011,261,101,112,"STW",11,0,0,NA,2004,0,3,"mittel",5000,5.8,40270,542538.290807861,360
"AQ-41",2016,117,108,105,"Land",3,690,NA,NA,NA,NA,3,"mittel",5000,26.2,6890,243.659796209773,924
"J-48",2011,9,105,101,"STW",11,0,0,NA,2011,1,2,"günstig",5000,15.2,45886,1021130.05505188,718
"W-13",2014,43,110,102,"EFH",3,1040,5,160,2014,1,1,"sehr günstig",5000,24,8137,604901.088722167,1740
"AI-37",2008,119,108,105,"EFH",1,920,8,160,1973,0,3,"mittel",5000,18,44798,1229718.04170497,233
"D-31",2017,243,104,111,"STW",11,0,4,NA,1972,0,2,"günstig",5000,11.8,10648,692274.168567732,1196
"K-33",2009,261,101,112,"EFH",1,330,3,120,1947,0,5,"hoch",4912,4.8,47853,680353.320334572,1126
"R-31",2007,261,101,112,"STW",11,0,3,NA,1986,0,4,"gehoben",4756,4.6,28306,784414.6921098,1208
"P-47",2017,4,105,101,"EFH",1,290,4,70,1980,0,3,"mittel",4150,13,28693,28913.8869394083,63
"O-31",2012,261,101,112,"EFH",11,250,5,120,1937,0,4,"gehoben",4120,3.8,13610,2770570.07507281,1205
"O-33",2013,261,101,112,"STW",3,0,3,NA,NA,NA,5,"hoch",2123,1.8,72098,921604.357789154,1130
"AI-13",2015,211,109,110,"STW",3,0,0,NA,2015,1,1,"sehr günstig",5000,29,58638,717773.284726543,1747
"AJ-35",2013,177,108,108,"STW",11,0,3,NA,2013,1,2,"günstig",5000,18.8,61199,1099321.58291445,279
"AE-17",2016,227,109,110,"STW",11,0,3,NA,2002,0,3,"mittel",5000,23.4,61990,115200.781250373,1663
"AL-37",2007,177,108,108,"EFH",3,390,5,120,1984,0,2,"günstig",5000,20.6,61532,419448.888944695,1035
"X-37",2016,195,102,109,"STW",11,0,2,NA,1963,0,3,"mittel",5000,7.8,63519,612110.876606079,227
"N-42",2015,131,106,106,"STW",1,0,0,NA,2012,0,4,"gehoben",3408,7.8,32987,2948942.75983993,147
"O-20",2014,53,111,103,"STW",2,0,3,NA,2014,1,3,"mittel",5000,15.4,51365,1763349.67216209,1553
"H-30",2012,251,104,111,"STW",1,0,0,NA,NA,NA,4,"gehoben",5000,9,58402,375554.222991806,1231
"Q-36",2014,261,101,112,"STW",3,0,4,NA,1911,0,5,"hoch",211,2,35704,1592344.76877179,245
"AD-52",2010,138,106,106,"STW",3,0,5,NA,NA,NA,4,"gehoben",358,22.6,73318,1808252.2951162,21
"V-43",2016,152,107,107,"STW",1,0,0,NA,2016,1,6,"sehr hoch",601,10.4,46492,1693628.31282453,846
"AA-52",2011,138,106,106,"STW",3,0,5,NA,NA,NA,3,"mittel",2794,21.6,17726,2297727.53431706,678
"N-33",2013,261,101,112,"STW",3,0,0,NA,2013,1,4,"gehoben",3084,2.6,78908,2415459.3113981,1129
"AE-36",2010,198,108,109,"STW",11,0,2,NA,1991,0,3,"mittel",5000,14.2,37526,1040097.24336327,1058
"J-40",2007,3,105,101,"STW",3,0,0,NA,2007,1,2,"günstig",5000,7.8,23618,1533170.72063824,932
"G-32",2011,247,104,111,"STW",11,0,3,NA,1974,0,2,"günstig",5000,8.6,78548,806734.937707894,1162
"M-15",2013,58,111,103,"STW",3,0,3,NA,2013,1,2,"günstig",5000,21,31743,442641.677229898,1698
"AF-22",2010,230,109,110,"MFH",11,510,NA,NA,1910,0,2,"günstig",5000,20.4,27953,769902.117166435,1496
"Z-18",2013,223,109,110,"STW",3,0,2,NA,1988,0,3,"mittel",5000,20.4,46338,198716.37485642,1631
"AD-43",2007,192,107,109,"EFH",1,490,5,140,1967,0,3,"mittel",4200,15.8,49273,2838231.40961363,852
"AA-27",2011,176,109,108,"STW",3,0,0,NA,2011,1,2,"günstig",5000,13,8552,873473.195807659,1323
"Q-33",2012,261,101,112,"MFH",11,370,NA,160,1914,0,5,"hoch",1917,1.8,11408,2142896.37583913,1132
"W-36",2013,195,102,109,"EFH",1,210,4,NA,1996,0,4,"gehoben",4642,6.8,32515,2324371.7530641,249
"H-28",2016,84,103,104,"STW",11,0,6,NA,1940,0,2,"günstig",5000,10.4,9270,1440475.72814091,1281
"AN-44",2015,113,108,105,"EFH",1,360,6,180,2006,0,2,"günstig",4832,24.4,50770,104367.224080255,827
"T-37",2014,161,107,107,"STW",1,0,3,NA,1990,0,5,"hoch",1832,4.4,32206,1249662.34046943,224
"AI-48",2015,158,107,107,"EFH",1,280,5,140,1996,0,4,"gehoben",257,23,18018,1160959.86022893,59
"L-32",2011,261,101,112,"STW",1,0,0,NA,2011,1,4,"gehoben",5000,4.8,7839,1230562.73876352,1165
"AK-40",2008,121,108,105,"EFH",11,380,4,70,1951,0,3,"mittel",5000,20.6,30810,456624.749444309,950
"AG-20",2008,230,109,110,"EFH",1,270,4,90,1938,0,2,"günstig",5000,22.2,49066,638706.879507517,1569
"R-30",2014,66,102,103,"STW",11,0,4,NA,2014,1,3,"mittel",5000,5.6,66649,240575.170726515,342
"V-19",2016,215,109,110,"EFH",3,210,6,180,2005,0,2,"günstig",5000,18,9131,974017.408811022,478
"P-20",2012,53,111,103,"MFH",3,340,NA,NA,1850,0,2,"günstig",5000,16,9229,30109.8696758272,1554
"AA-10",2014,33,110,102,"Land",1,820,NA,NA,NA,NA,2,"günstig",5000,28.2,6257,514.131444890401,1793
"Z-28",2012,176,109,108,"STW",11,0,0,NA,2012,1,2,"günstig",5000,12,63486,55413.3142842911,385
"AB-42",2013,192,107,109,"EFH",3,970,7,220,1907,0,3,"mittel",4363,13.6,39397,1670190.91991172,880
"O-40",2011,131,106,106,"STW",11,0,0,NA,2011,1,4,"gehoben",1977,6,29068,735830.045574228,935
"T-34",2017,191,102,109,"STW",1,0,5,NA,1962,0,3,"mittel",3618,4,65463,1328664.7891571,293
"J-32",2011,247,104,111,"STW",1,0,0,NA,2011,1,3,"mittel",5000,6.4,10005,2892655.08584015,313
"AL-38",2010,121,108,105,"EFH",11,120,6,140,1805,0,2,"günstig",5000,20.8,80100,1776418.44023031,213
"AO-45",2014,113,108,105,"STW",3,0,0,NA,2014,1,2,"günstig",3774,26,55834,1758230.65994564,798
"S-30",2007,261,101,112,"EFH",11,160,3,50,1944,0,3,"mittel",5000,5.6,20426,1001321.18456904,343
"AF-17",2012,227,109,110,"EFH",1,820,5,150,1964,0,3,"mittel",5000,24.4,75199,1186751.85692124,1664
"H-32",2016,247,104,111,"STW",3,0,3,NA,2016,1,2,"günstig",5000,8,47507,1109126.2681334,1163
"AD-36",2014,198,108,109,"STW",3,0,0,NA,2004,0,3,"mittel",5000,13.2,68858,695625.417760224,1057
"N-38",2016,261,101,112,"STW",3,0,0,NA,2015,1,3,"mittel",1680,3.8,54046,2768030.2153154,998
"S-28",2015,66,102,103,"STW",1,0,3,NA,2008,0,3,"mittel",5000,7.4,37678,438935.400463524,1285
"H-42",2016,5,105,101,"EFH",1,700,5,130,1957,0,3,"mittel",5000,10.6,11439,1118567.24497082,868
"S-26",2007,62,102,103,"STW",1,0,3,NA,1972,0,4,"gehoben",5000,9.4,16968,2849417.62407112,1349
"S-40",2014,154,107,107,"STW",3,0,2,NA,1962,0,4,"gehoben",268,6.6,82539,1049235.07913412,175
"L-35",2010,261,101,112,"STW",1,0,2,NA,2010,1,5,"hoch",3522,3.6,61609,1313247.16074963,1069
"I-44",2012,2,105,101,"STW",3,0,3,NA,NA,NA,2,"günstig",5000,12.2,30663,240042.067173403,809
"AB-20",2009,230,109,110,"STW",1,0,3,NA,2009,1,3,"mittel",5000,19.6,38900,544107.520338614,1564
"Y-7",2008,35,110,102,"Land",1,1280,NA,NA,NA,NA,2,"günstig",5000,30.6,1459,2264.25643301383,1827
"AB-50",2009,142,106,106,"STW",3,0,3,NA,2009,1,3,"mittel",232,19.8,81390,2556307.6148564,41
"I-27",2012,96,103,104,"MFH",2,2400,NA,NA,1971,0,3,"mittel",5000,10.2,53585,425486.406734446,1309
"AE-33",2012,199,102,109,"EFH",1,850,5,100,1982,0,3,"mittel",5000,14.2,10168,2985251.83226669,306
"L-15",2015,58,111,103,"EFH",1,1080,6,200,1998,0,2,"günstig",5000,21.6,37114,1113824.62922228,1697
"I-45",2007,2,105,101,"STW",3,0,0,NA,2007,1,2,"günstig",5000,13,61694,1220529.33067456,781
"U-33",2007,191,102,109,"EFH",1,370,5,120,2000,0,3,"mittel",4669,5,8272,2616992.03832087,1135
"U-39",2016,154,107,107,"Land",1,1560,NA,NA,NA,NA,6,"sehr hoch",1785,6.8,6896,1225.89519698615,969
"L-46",2010,1,105,101,"STW",1,0,4,NA,2010,1,3,"mittel",5000,12.4,45252,1647483.73656569,762
"Q-33",2016,261,101,112,"STW",11,0,0,NA,1906,0,5,"hoch",1917,1.8,17593,1781285.27812695,1132
"AK-35",2007,177,108,108,"Land",1,830,NA,NA,NA,NA,3,"mittel",5000,19.6,542,16.039270756417,1083
"AO-45",2017,113,108,105,"EFH",1,910,5,140,1951,0,2,"günstig",3774,26,76740,1285696.98972919,798
"AJ-27",2007,231,109,110,"EFH",1,700,5,180,2006,1,1,"sehr günstig",5000,20.6,77690,2831059.1272884,399
"AC-23",2014,230,109,110,"Land",1,190,NA,NA,NA,NA,3,"mittel",5000,17.2,6245,41.7869897426572,1457
"Q-20",2014,51,111,103,"Land",1,520,NA,NA,NA,NA,3,"mittel",5000,15.4,6252,1909.09897944401,1555
"AU-40",2013,114,108,105,"EFH",3,290,5,270,2008,0,1,"sehr günstig",5000,29.6,31848,1018914.30927615,960
"AD-36",2008,198,108,109,"MFH",11,2500,NA,NA,1985,0,3,"mittel",5000,13.2,13553,2604190.51202422,1057
"N-37",2009,261,101,112,"EFH",1,450,6,160,1924,0,4,"gehoben",1517,2.8,56412,2438241.78940197,1027
"AA-20",2011,230,109,110,"STW",11,0,0,NA,2011,1,2,"günstig",5000,18.6,35668,491658.25086413,1563
"K-38",2009,14,105,101,"STW",1,0,0,NA,1990,0,4,"gehoben",4515,6,52554,2120526.85984841,996
"P-35",2016,261,101,112,"STW",3,0,0,NA,2016,1,5,"hoch",345,0.2,31683,1318463.13681942,269
"P-35",2009,261,101,112,"STW",3,0,1,NA,1430,0,6,"sehr hoch",345,0.2,34212,56344.9276676401,269
"J-47",2010,9,105,101,"STW",1,0,0,NA,2001,0,3,"mittel",5000,14.2,62054,967996.906242333,740
"I-42",2013,5,105,101,"STW",3,0,5,NA,2013,1,2,"günstig",5000,10.4,21469,286088.602683856,869
"N-36",2015,261,101,112,"STW",3,0,0,NA,2015,1,4,"gehoben",1561,2.2,20148,1558017.75030897,1050
"AP-44",2011,113,108,105,"STW",1,0,0,NA,2011,1,2,"günstig",5000,26.2,46917,310326.783691416,829
"M-32",2015,261,101,112,"STW",3,0,0,NA,2015,1,4,"gehoben",4087,3.8,13931,1617857.39500495,1166
"AO-42",2017,117,108,105,"EFH",1,200,5,110,1993,0,3,"mittel",5000,24.8,50418,2021120.45769452,891
"T-30",2008,69,102,103,"EFH",1,390,7,200,1957,0,3,"mittel",5000,6.4,17672,275705.282621668,1238
"N-33",2013,261,101,112,"STW",3,0,0,NA,2013,1,4,"gehoben",3084,2.6,46707,1810273.5181693,1129
